结构名称,MSE,MAE,Avg_STD,Delta_cc,Delta_vdw,Delta_strain
t-3-6,1.0463199578e-03,4.5020510443e-03,2.6523103006e-03,0.063380,0.000000,0.000000
t-3-7,1.1863230029e-03,5.3285062313e-03,2.8787811752e-03,0.067606,0.000000,0.000000
t-3-8,1.3904430671e-03,6.4277993515e-03,3.1226507854e-03,0.071831,0.000000,0.000000
t-3-9,1.6503882362e-03,7.5973956846e-03,3.3521307632e-03,0.075352,0.000000,0.000000
t-4-0,2.1237737965e-03,9.2783598229e-03,3.6950677168e-03,0.079577,0.000000,0.000000
t-4-1,2.2282202262e-03,1.1730839498e-02,4.9132234417e-03,-0.080282,0.000000,0.000000
t-4-2,1.8804327119e-03,1.0302517563e-02,4.5801820233e-03,-0.076056,0.000000,0.000000
t-4-3,1.6475296579e-03,9.1835008934e-03,4.3414481916e-03,-0.072535,0.000000,0.000000
t-4-4,1.4311970444e-03,7.9696597531e-03,4.1185403243e-03,-0.068310,0.000000,0.000000
t-4-5,1.2531838147e-03,6.7201489583e-03,3.9499597624e-03,-0.064085,0.000000,0.000000
t-4-6,1.1493788334e-03,5.8091892861e-03,3.8500991650e-03,-0.060563,0.000000,0.000000
t-4-7,1.0775338160e-03,4.9567841925e-03,3.7552190479e-03,-0.056338,0.000000,0.000000
t-4-8,1.0513159214e-03,4.3707159348e-03,3.6456980743e-03,-0.052113,0.000000,0.000000
t-4-9,1.0730837239e-03,4.0773497894e-03,3.5459613428e-03,-0.048592,0.000000,0.000000
t-5-0,1.1046631262e-03,3.7926873192e-03,3.3805335406e-03,-0.044366,0.000000,0.000000
t-5-1,1.1304256041e-03,3.5854647867e-03,3.1620219816e-03,-0.040141,0.000000,0.000000
t-5-2,1.1628501816e-03,3.4960780758e-03,3.0049839988e-03,-0.036620,0.000000,0.000000
t-5-3,1.1794088641e-03,3.4268246964e-03,2.7963360772e-03,-0.032394,0.000000,0.000000
t-5-4,1.1863714317e-03,3.4248232841e-03,2.6081660762e-03,-0.028169,0.000000,0.000000
t-5-5,1.1878611986e-03,3.4496739972e-03,2.4865155574e-03,-0.024648,0.000000,0.000000
t-5-6,2.8695205401e-05,1.5411075437e-03,8.6043879855e-04,-0.020423,0.000000,0.000000
t-5-7,1.6875435904e-05,1.1669290252e-03,6.8188569276e-04,-0.016197,0.000000,0.000000
t-5-8,9.8309292298e-06,8.9178234339e-04,5.4421770619e-04,-0.012676,0.000000,0.000000
t-5-9,4.7568505579e-06,6.4388127066e-04,4.0168300620e-04,-0.008451,0.000000,0.000000
t-6-0,1.2877935660e-06,3.7801830331e-04,2.6406810503e-04,-0.004225,0.000000,0.000000
